lat,lng,desc,zip,title,timeStamp,twp,addr,e
39.9922283,-75.245687,RAYNHAM RD & CITY AVE; LOWER MERION; 2019-04-23 @ 13:08:54-Station:STA28;,19131.0,Fire: FIRE ALARM,2019-04-23 13:08:54,LOWER MERION,RAYNHAM RD & CITY AVE,1
40.0166082,-75.3084295,LANCASTER AVE & OLD LANCASTER RD; DELAWARE COUNTY; 2016-11-04 @ 16:15:04;,19041.0,Traffic: VEHICLE ACCIDENT -,2016-11-04 16:15:04,DELAWARE COUNTY,LANCASTER AVE & OLD LANCASTER RD,1
40.0249667,-75.2829046,NO LOCATION - NEIGHBORING COUNTY;  LOWER MERION; Station 313; 2018-12-13 @ 15:19:20;,,EMS: VEHICLE ACCIDENT,2018-12-13 15:19:20,LOWER MERION,NO LOCATION - NEIGHBORING COUNTY,1
40.009568,-75.2248215,BELMONT AVE & COLWYN LN; LOWER MERION; 2017-01-23 @ 15:24:15-Station:STA28;,19004.0,Fire: FIRE ALARM,2017-01-23 15:24:15,LOWER MERION,BELMONT AVE & COLWYN LN,1
40.2115938,-75.5677077,MAIN ST & RR CROSSING; ROYERSFORD; 2016-12-29 @ 00:30:57;,19468.0,Traffic: DISABLED VEHICLE -,2016-12-29 00:30:57,ROYERSFORD,MAIN ST & RR CROSSING,1
40.131243,-75.3392867,HARDING BLVD & COOLIDGE BLVD; NORRISTOWN; 2016-02-25 @ 13:42:03-Station:STA27;,19401.0,Fire: FIRE ALARM,2016-02-25 13:42:03,NORRISTOWN,HARDING BLVD & COOLIDGE BLVD,1
40.1522357,-75.3486116,GERMANTOWN PIKE & WHITEHALL RD; EAST NORRITON; 2020-01-29 @ 10:11:07;,19403.0,Traffic: DISABLED VEHICLE -,2020-01-29 10:11:07,EAST NORRITON,GERMANTOWN PIKE & WHITEHALL RD,1
40.001865,-75.278231,E LANCASTER AVE & W OLD WYNNEWOOD RD; LOWER MERION; 2019-05-23 @ 19:39:57;,19003.0,Traffic: VEHICLE ACCIDENT -,2019-05-23 19:39:57,LOWER MERION,E LANCASTER AVE & W OLD WYNNEWOOD RD,1
40.1640616,-75.4765784,TOWN CENTER DR & S COLLEGEVILLE RD;  UPPER PROVIDENCE; Station 324; 2016-05-19 @ 12:52:54;,19426.0,EMS: ALLERGIC REACTION,2016-05-19 12:52:54,UPPER PROVIDENCE,TOWN CENTER DR & S COLLEGEVILLE RD,1
40.1749713,-75.1384239,DRESHER RD & GIBRALTAR RD;  HORSHAM; Station 352; 2017-07-02 @ 11:57:52;,19044.0,EMS: ABDOMINAL PAINS,2017-07-02 11:57:52,HORSHAM,DRESHER RD & GIBRALTAR RD,1
40.2616887,-75.4066181,HARLEYSVILLE PIKE & MORRIS RD; LOWER SALFORD; 2018-04-12 @ 17:23:59;,19438.0,Traffic: VEHICLE ACCIDENT -,2018-04-12 17:23:59,LOWER SALFORD,HARLEYSVILLE PIKE & MORRIS RD,1
40.1464006,-75.3550755,STONYBROOK DR & N WHITEHALL RD; WEST NORRITON; 2017-04-26 @ 04:47:25-Station:STA46;,19403.0,Fire: FIRE ALARM,2017-04-26 04:47:25,WEST NORRITON,STONYBROOK DR & N WHITEHALL RD,1
40.1287182,-75.0678553,FETTERS MILL RD & WOODLAND RD; BRYN ATHYN; 2017-12-30 @ 08:30:02;,19009.0,Traffic: DISABLED VEHICLE -,2017-12-30 08:30:02,BRYN ATHYN,FETTERS MILL RD & WOODLAND RD,1
40.0855923,-75.3912204,GULPH RD & KIRK AVE;  UPPER MERION; Station 356; 2019-12-03 @ 20:49:37;,19406.0,EMS: SEIZURES,2019-12-03 20:49:37,UPPER MERION,GULPH RD & KIRK AVE,1
40.2212266,-75.2887369,DEKALB PIKE & RT202 PKWY; UPPER GWYNEDD; 2017-09-11 @ 13:17:31;,,Traffic: VEHICLE ACCIDENT -,2017-09-11 13:17:31,UPPER GWYNEDD,DEKALB PIKE & RT202 PKWY,1
40.0118988,-75.272228,WYNNEWOOD RD & N WYNNEWOOD AVE;  LOWER MERION; Station 313; 2019-09-30 @ 08:52:45;,19072.0,EMS: RESPIRATORY EMERGENCY,2019-09-30 08:52:45,LOWER MERION,WYNNEWOOD RD & N WYNNEWOOD AVE,1
40.0782759,-75.2498518,RIDGE PIKE & BARREN HILL RD;  WHITEMARSH; Station 318; 2019-09-23 @ 12:34:41;,19444.0,EMS: RESPIRATORY EMERGENCY,2019-09-23 12:34:41,WHITEMARSH,RIDGE PIKE & BARREN HILL RD,1
40.1594299,-75.3345106,NORTHAMPTON RD & NOTTINGHAM RD;  EAST NORRITON; Station 308B; 2017-04-06 @ 14:02:27;,19403.0,EMS: ALTERED MENTAL STATUS,2017-04-06 14:02:27,EAST NORRITON,NORTHAMPTON RD & NOTTINGHAM RD,1
40.1652088,-75.2071308,E BUTLER PIKE & SUSQUEHANNA RD; UPPER DUBLIN; 2017-08-16 @ 12:10:30;,19002.0,Traffic: DISABLED VEHICLE -,2017-08-16 12:10:30,UPPER DUBLIN,E BUTLER PIKE & SUSQUEHANNA RD,1
40.0664565,-75.3871857,FLETCHER RD;  UPPER MERION; Station 317; 2018-12-25 @ 17:39:02;,19087.0,EMS: VEHICLE ACCIDENT,2018-12-25 17:39:02,UPPER MERION,FLETCHER RD,1
40.2474666,-75.659892,W HIGH ST; WEST POTTSGROVE; 2020-05-18 @ 16:03:06-Station:STA57;,,Fire: GAS-ODOR/LEAK,2020-05-18 16:03:06,WEST POTTSGROVE,W HIGH ST,1
40.0812601,-75.1370254,VALLEY RD & RR OVERPASS; CHELTENHAM; 2017-02-20 @ 19:25:31-Station:STA3;,,Fire: FIRE ALARM,2017-02-20 19:25:31,CHELTENHAM,VALLEY RD & RR OVERPASS,1
40.2249227,-75.5280446,LINFIELD TRAPPE RD; LIMERICK; 2020-07-06 @ 21:11:41-Station:STA51;,19468.0,Fire: FIRE POLICE NEEDED,2020-07-06 21:11:41,LIMERICK,LINFIELD TRAPPE RD,1
40.1143609,-75.0602647,BOYD RD & WELSH RD;  LOWER MORELAND; Station 355; 2019-10-24 @ 23:25:37;,19006.0,EMS: NAUSEA/VOMITING,2019-10-24 23:25:37,LOWER MORELAND,BOYD RD & WELSH RD,1
40.1706519,-75.5132347,COUNTRY RIDGE DR & MEADOWGREEN DR;  UPPER PROVIDENCE; Station 325; 2017-05-10 @ 04:11:33;,19468.0,EMS: HEAD INJURY,2017-05-10 04:11:33,UPPER PROVIDENCE,COUNTRY RIDGE DR & MEADOWGREEN DR,1
40.1983095,-75.2998049,GOLDENROD DR & MAHOGANY WAY; UPPER GWYNEDD; 2018-01-26 @ 06:44:04-Station:STA80;,19446.0,Fire: CARBON MONOXIDE DETECTOR,2018-01-26 06:44:04,UPPER GWYNEDD,GOLDENROD DR & MAHOGANY WAY,1
40.3145677,-75.3400812,TELFORD PIKE & COWPATH RD;  FRANCONIA; Station 339; 2017-12-21 @ 10:28:11;,18964.0,EMS: CARDIAC EMERGENCY,2017-12-21 10:28:11,FRANCONIA,TELFORD PIKE & COWPATH RD,1
40.0095982,-75.2598894,WOODBINE AVE & HAMPDEN AVE;  NARBERTH; Station 313; 2017-03-08 @ 19:19:43;,19072.0,EMS: SYNCOPAL EPISODE,2017-03-08 19:19:43,NARBERTH,WOODBINE AVE & HAMPDEN AVE,1
40.2468373,-75.6813814,VINE ST & CENTER ST; WEST POTTSGROVE; 2019-07-11 @ 20:37:50-Station:STA57;,19464.0,Fire: PUMP DETAIL,2019-07-11 20:37:50,WEST POTTSGROVE,VINE ST & CENTER ST,1
40.1130613,-75.1192289,HUNTINGDON RD & SUSQUEHANNA RD; ABINGTON; 2020-07-20 @ 15:47:38;,19046.0,Traffic: VEHICLE ACCIDENT -,2020-07-20 15:47:38,ABINGTON,HUNTINGDON RD & SUSQUEHANNA RD,1
40.2054756,-75.3529714,SKIPPACK PIKE & MEADOWOOD DR; WORCESTER; 2016-07-19 @ 18:43:32-Station:STA83;,19446.0,Fire: FIRE INVESTIGATION,2016-07-19 18:43:32,WORCESTER,SKIPPACK PIKE & MEADOWOOD DR,1
40.1025302,-75.2129155,BETHLEHEM PIKE & E WISSAHICKON AVE; SPRINGFIELD; 2016-04-12 @ 17:51:52-Station:STA6;,19031.0,Fire: FIRE ALARM,2016-04-12 17:51:52,SPRINGFIELD,BETHLEHEM PIKE & E WISSAHICKON AVE,1
40.0890326,-75.2167989,PENNSYLVANIA TPKE & STENTON AVE UNDERPASS; WHITEMARSH; 2017-01-27 @ 06:44:10;,19038.0,Traffic: VEHICLE ACCIDENT -,2017-01-27 06:44:10,WHITEMARSH,PENNSYLVANIA TPKE & STENTON AVE UNDERPASS,1
40.1308415,-75.4015636,EGYPT RD & S TROOPER RD;  LOWER PROVIDENCE; Station 322A; 2018-05-23 @ 11:40:27;,19403.0,EMS: FEVER,2018-05-23 11:40:27,LOWER PROVIDENCE,EGYPT RD & S TROOPER RD,1
40.124959,-75.3704948,WILLIAMS WAY & DAVID LN;  WEST NORRITON; Station 308B; 2020-03-24 @ 20:25:54;,19403.0,EMS: RESPIRATORY EMERGENCY,2020-03-24 20:25:54,WEST NORRITON,WILLIAMS WAY & DAVID LN,1
40.230903,-75.2425518,DEKALB PIKE & AVENEL BLVD;  MONTGOMERY; Station 345A; 2019-11-17 @ 15:36:21;,19454.0,EMS: VEHICLE ACCIDENT,2019-11-17 15:36:21,MONTGOMERY,DEKALB PIKE & AVENEL BLVD,1
40.1325208,-75.1526926,SUSQUEHANNA RD & FITZWATERTOWN RD; UPPER DUBLIN; 2016-11-17 @ 15:39:15;,19025.0,Traffic: VEHICLE ACCIDENT -,2016-11-17 15:39:15,UPPER DUBLIN,SUSQUEHANNA RD & FITZWATERTOWN RD,1
40.07592,-75.3044922,FAYETTE ST & E 15TH AVE;  PLYMOUTH; Station 308; 2020-07-19 @ 18:31:09;,19428.0,EMS: FALL VICTIM,2020-07-19 18:31:09,PLYMOUTH,FAYETTE ST & E 15TH AVE,1
40.0792067,-75.1446262,TOBY LEECH DR & DIXON RD;  CHELTENHAM; Station 358; 2019-03-04 @ 00:10:21;,19027.0,EMS: SUBJECT IN PAIN,2019-03-04 00:10:21,CHELTENHAM,TOBY LEECH DR & DIXON RD,1
40.246201,-75.655197,HIGH ST & MANATAWNY ST;  POTTSTOWN; Station 329; 2018-03-21 @ 09:53:52;,19464.0,EMS: MATERNITY,2018-03-21 09:53:52,POTTSTOWN,HIGH ST & MANATAWNY ST,1
40.2227853,-75.6602523,POTTSTOWN PIKE & LENAPE XING; CHESTER COUNTY; 2019-10-26 @ 11:06:22;,19465.0,Traffic: DISABLED VEHICLE -,2019-10-26 11:06:22,CHESTER COUNTY,POTTSTOWN PIKE & LENAPE XING,1
40.1404146,-75.1280585,OLD WELSH RD & CUMMINGS AVE; ABINGTON; 2020-02-02 @ 17:16:18;,19090.0,Traffic: VEHICLE ACCIDENT -,2020-02-02 17:16:18,ABINGTON,OLD WELSH RD & CUMMINGS AVE,1
40.2449588,-75.243333,BETHLEHEM PIKE & VILSMEIER RD; MONTGOMERY; 2020-07-25 @ 14:41:40;,19454.0,Traffic: VEHICLE ACCIDENT -,2020-07-25 14:41:40,MONTGOMERY,BETHLEHEM PIKE & VILSMEIER RD,1
40.172526,-75.2846533,DEKALB PIKE & BLUE BELL SPRINGS DR;  WHITPAIN; Station 385; 2018-11-04 @ 07:06:54;,19422.0,EMS: HEAD INJURY,2018-11-04 07:06:54,WHITPAIN,DEKALB PIKE & BLUE BELL SPRINGS DR,1
40.0418467,-75.3327841,SPRING MILL RD & W MONTGOMERY AVE; LOWER MERION; 2017-01-26 @ 13:38:47;,19085.0,Traffic: DISABLED VEHICLE -,2017-01-26 13:38:47,LOWER MERION,SPRING MILL RD & W MONTGOMERY AVE,1
40.0130393,-75.2373667,OTT RD & W LEVERING MILL RD;  LOWER MERION; Station 313; 2017-04-04 @ 17:55:16;,19004.0,EMS: ABDOMINAL PAINS,2017-04-04 17:55:16,LOWER MERION,OTT RD & W LEVERING MILL RD,1
40.2135759,-75.3214083,SUPPLEE RD & POWDERHORN DR;  UPPER GWYNEDD; Station 345B; 2019-11-21 @ 02:44:40;,19446.0,EMS: MEDICAL ALERT ALARM,2019-11-21 02:44:40,UPPER GWYNEDD,SUPPLEE RD & POWDERHORN DR,1
40.124381,-75.3411609,MARKLEY ST & LINCOLN AVE;  NORRISTOWN; Station 308A; 2020-05-27 @ 23:45:58;,19401.0,EMS: CVA/STROKE,2020-05-27 23:45:58,NORRISTOWN,MARKLEY ST & LINCOLN AVE,1
40.251492,-75.6033497,RT422 BYP & S SANATOGA RD UNDERPASS; LOWER POTTSGROVE; 2017-08-29 @ 10:45:21;,,Traffic: DISABLED VEHICLE -,2017-08-29 10:45:21,LOWER POTTSGROVE,RT422 BYP & S SANATOGA RD UNDERPASS,1
40.1888962,-75.1468437,HORSHAM RD & NORRISTOWN RD; HORSHAM; 2019-04-15 @ 08:47:37;,19044.0,Traffic: DISABLED VEHICLE -,2019-04-15 08:47:37,HORSHAM,HORSHAM RD & NORRISTOWN RD,1
40.1723141,-75.4927278,RT422  & TROUTMAN RD UNDERPASS; UPPER PROVIDENCE; 2018-12-20 @ 17:23:08;,,Traffic: VEHICLE ACCIDENT -,2018-12-20 17:23:08,UPPER PROVIDENCE,RT422  & TROUTMAN RD UNDERPASS,1
40.2394356,-75.2362381,RT202 PKWY & RT309 CONNECTOR RAMP; MONTGOMERY; 2020-02-12 @ 22:16:28;,,Traffic: VEHICLE ACCIDENT -,2020-02-12 22:16:28,MONTGOMERY,RT202 PKWY & RT309 CONNECTOR RAMP,1
40.3065882,-75.3031066,CLOVERDALE WAY & DEERFIELD DR;  FRANCONIA; Station 339; 2020-05-28 @ 06:04:27;,18964.0,EMS: RESPIRATORY EMERGENCY,2020-05-28 06:04:27,FRANCONIA,CLOVERDALE WAY & DEERFIELD DR,1
40.031183,-75.263001,HOLLOW RD & CONSHOHOCKEN STATE RD; LOWER MERION; 2019-03-01 @ 17:55:03;,19035.0,Traffic: DISABLED VEHICLE -,2019-03-01 17:55:03,LOWER MERION,HOLLOW RD & CONSHOHOCKEN STATE RD,1
40.1672797,-75.1484155,MANOR DR & BUSINESS CENTER DR;  HORSHAM; Station 352; 2016-11-03 @ 01:06:57;,19044.0,EMS: FALL VICTIM,2016-11-03 01:06:57,HORSHAM,MANOR DR & BUSINESS CENTER DR,1
40.1294478,-75.3120097,NEW HOPE ST & SAW MILL CT;  EAST NORRITON; Station 308; 2018-07-21 @ 17:27:05;,19401.0,EMS: ASSAULT VICTIM,2018-07-21 17:27:05,EAST NORRITON,NEW HOPE ST & SAW MILL CT,1
40.1231771,-75.3337165,E FORNANCE ST & DEKALB ST; NORRISTOWN; 2017-04-01 @ 23:47:25;,19401.0,Traffic: DISABLED VEHICLE -,2017-04-01 23:47:25,NORRISTOWN,E FORNANCE ST & DEKALB ST,1
40.1305554,-75.4368539,MILL GROVE DR & EGYPT RD;  LOWER PROVIDENCE; Station 322A; 2016-02-29 @ 00:54:28;,19403.0,EMS: HEMORRHAGING,2016-02-29 00:54:28,LOWER PROVIDENCE,MILL GROVE DR & EGYPT RD,1
40.1666116,-75.0678298,JASON DR & OAKWOOD DR;  UPPER MORELAND; Station 384; 2017-09-08 @ 14:58:13;,19006.0,EMS: ALTERED MENTAL STATUS,2017-09-08 14:58:13,UPPER MORELAND,JASON DR & OAKWOOD DR,1
40.3380431,-75.515729,EICHELE RD & DEEP CREEK RD;  NEW HANOVER; Station 344A; 2018-05-06 @ 17:18:52;,18074.0,EMS: FEVER,2018-05-06 17:18:52,NEW HANOVER,EICHELE RD & DEEP CREEK RD,1
40.2378233,-75.3124244,SNYDER RD & KINDLE DR; TOWAMENCIN; 2018-09-25 @ 06:57:46;,19446.0,Traffic: VEHICLE ACCIDENT -,2018-09-25 06:57:46,TOWAMENCIN,SNYDER RD & KINDLE DR,1
40.1299347,-75.1657456,TWINING RD & TIMBER LN;  UPPER DUBLIN; Station 383; 2019-04-22 @ 11:38:37;,19025.0,EMS: CVA/STROKE,2019-04-22 11:38:37,UPPER DUBLIN,TWINING RD & TIMBER LN,1
40.3073894,-75.6261065,RT100 NB & GROSSER RD; DOUGLASS; 2016-02-10 @ 11:27:23;,19525.0,Traffic: DISABLED VEHICLE -,2016-02-10 11:27:23,DOUGLASS,RT100 NB & GROSSER RD,1
40.1147453,-75.2854469,GERMANTOWN PIKE & LAUNFALL RD; PLYMOUTH; 2017-11-30 @ 10:30:19-Station:STA44;,19462.0,Fire: FIRE INVESTIGATION,2017-11-30 10:30:19,PLYMOUTH,GERMANTOWN PIKE & LAUNFALL RD,1
40.118983,-75.415897,MONROE BLVD & MADISON AVE; LOWER PROVIDENCE; 2016-02-14 @ 18:35:53-Station:STA53;,19403.0,Fire: FIRE ALARM,2016-02-14 18:35:53,LOWER PROVIDENCE,MONROE BLVD & MADISON AVE,1
40.1579636,-75.1859086,SCHIRRA DR & KEISEL LN; UPPER DUBLIN; 2017-06-06 @ 11:52:45-Station:STA88;,19002.0,Fire: FIRE ALARM,2017-06-06 11:52:45,UPPER DUBLIN,SCHIRRA DR & KEISEL LN,1
40.2469315,-75.6439204,CHESTNUT ST & N FRANKLIN ST; POTTSTOWN; 2017-12-24 @ 21:13:30-Station:STA69;,19464.0,Fire: BUILDING FIRE,2017-12-24 21:13:30,POTTSTOWN,CHESTNUT ST & N FRANKLIN ST,1
40.2566279,-75.2612699,N LINE ST & COWPATH RD; MONTGOMERY; 2018-05-17 @ 04:41:07;,19446.0,Traffic: HAZARDOUS ROAD CONDITIONS -,2018-05-17 04:41:07,MONTGOMERY,N LINE ST & COWPATH RD,1
40.0685015,-75.1482828,CHELTENHAM AVE & ANDREWS AVE;  CHELTENHAM; Station 358; 2019-01-11 @ 15:33:01;,19027.0,EMS: SUBJECT IN PAIN,2019-01-11 15:33:01,CHELTENHAM,CHELTENHAM AVE & ANDREWS AVE,1
40.2436595,-75.6169156,MOSER RD & HIGH ST; POTTSTOWN; 2017-02-03 @ 17:03:30-Station:STA69;,19464.0,Fire: BUILDING FIRE,2017-02-03 17:03:30,POTTSTOWN,MOSER RD & HIGH ST,1
40.008482,-75.280616,MONTGOMERY AVE & CHURCH RD;  LOWER MERION; Station 313; 2018-09-12 @ 11:56:18;,19003.0,EMS: ASSAULT VICTIM,2018-09-12 11:56:18,LOWER MERION,MONTGOMERY AVE & CHURCH RD,1
40.2387237,-75.578516,EVERGREEN RD & W LIGHTCAP RD;  LOWER POTTSGROVE; Station 329; 2018-06-14 @ 12:34:07;,19464.0,EMS: RESPIRATORY EMERGENCY,2018-06-14 12:34:07,LOWER POTTSGROVE,EVERGREEN RD & W LIGHTCAP RD,1
40.2484461,-75.2907661,3RD ST & N MITCHELL AVE;  LANSDALE; Station 345; 2017-01-25 @ 17:12:02;,19446.0,EMS: CVA/STROKE,2017-01-25 17:12:02,LANSDALE,3RD ST & N MITCHELL AVE,1
40.1414828,-75.117142,MORELAND RD & EASTON RD;  ABINGTON; Station 381; 2018-06-15 @ 18:48:02;,19090.0,EMS: FALL VICTIM,2018-06-15 18:48:02,ABINGTON,MORELAND RD & EASTON RD,1
40.1363661,-75.5010489,MEADOWVIEW LN & NORWOOD ST;  UPPER PROVIDENCE; Station 3A85; 2019-07-02 @ 09:16:01;,19453.0,EMS: ABDOMINAL PAINS,2019-07-02 09:16:01,UPPER PROVIDENCE,MEADOWVIEW LN & NORWOOD ST,1
40.4065415,-75.5062011,CHERRY ST & WATER ALY;  EAST GREENVILLE; Station 369; 2017-08-17 @ 06:57:28;,18041.0,EMS: CARDIAC EMERGENCY,2017-08-17 06:57:28,EAST GREENVILLE,CHERRY ST & WATER ALY,1
40.1058897,-75.0847407,HUNTINGDON PIKE & MOREDON RD;  ABINGTON; Station 382; 2019-07-26 @ 13:33:04;,19006.0,EMS: ABDOMINAL PAINS,2019-07-26 13:33:04,ABINGTON,HUNTINGDON PIKE & MOREDON RD,1
40.1373601,-75.2948944,SHEFFIELD DR;  PLYMOUTH; Station 308; 2019-06-18 @ 17:02:52;,,EMS: DIZZINESS,2019-06-18 17:02:52,PLYMOUTH,SHEFFIELD DR,1
40.2042768,-75.1295779,SHERWOOD LN & LATCHSTRING LN;  HORSHAM; Station 352; 2017-03-29 @ 20:29:52;,19040.0,EMS: SUBJECT IN PAIN,2017-03-29 20:29:52,HORSHAM,SHERWOOD LN & LATCHSTRING LN,1
40.1330371,-75.4084631,SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; Station 322A; 2019-08-28 @ 09:33:19;,19403.0,EMS: MEDICAL ALERT ALARM,2019-08-28 09:33:19,LOWER PROVIDENCE,SHANNONDELL DR & SHANNONDELL BLVD,1
40.1168089,-75.3579731,JACKSON ST & ROBERTS ALY; NORRISTOWN; 2020-06-22 @ 15:38:09-Station:STA27;,19401.0,Fire: FIRE INVESTIGATION,2020-06-22 15:38:09,NORRISTOWN,JACKSON ST & ROBERTS ALY,1
40.1759723,-75.4551081,HUNSICKER DR & FREELAND DR; COLLEGEVILLE; 2019-11-05 @ 16:55:35-Station:STA34;,19426.0,Fire: FIRE ALARM,2019-11-05 16:55:35,COLLEGEVILLE,HUNSICKER DR & FREELAND DR,1
40.0214341,-75.3159372,MORRIS AVE & N BRYN MAWR AVE;  LOWER MERION; Station 313; 2016-06-25 @ 17:55:47;,19010.0,EMS: HEAD INJURY,2016-06-25 17:55:47,LOWER MERION,MORRIS AVE & N BRYN MAWR AVE,1
40.222882,-75.3987889,PRISON RD & PIGGERY RD;  SKIPPACK; Station 336; 2017-11-14 @ 19:52:08;,,EMS: SUBJECT IN PAIN,2017-11-14 19:52:08,SKIPPACK,PRISON RD & PIGGERY RD,1
40.2056017,-75.3121087,ALDRIN AVE & ARMSTRONG DR;  UPPER GWYNEDD; Station 345B; 2016-12-04 @ 21:36:20;,19446.0,EMS: FEVER,2016-12-04 21:36:20,UPPER GWYNEDD,ALDRIN AVE & ARMSTRONG DR,1
